District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
12,1,ORA,R0.129,"DANA POINT, JCT. RTE. 5",0,0,0,3750,40000,37000
12,1,ORA,R0.78,"DANA POINT, DOHENY PARK ROAD",3750,40000,37000,3900,42000,38500
12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",2850,38500,36000,2850,38500,36000
12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3000,40500,38000,3400,40500,38000
12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DR/ASTER ST",3350,39500,37000,3350,39500,37000
12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3150,37500,35000,3150,38500,35000
12,1,ORA,R18.073,"NEWPORT BEACH, BAYSIDE DRIVE",4000,49500,45000,4800,59000,54000
12,1,ORA,R18.446,"NEWPORT BEACH, DOVER DRIVE",4250,53000,48000,4250,53000,48000
12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4350,53000,48700,5300,52000,48700
12,1,ORA,20.37,"NEWPORT BEACH, BALBOA/SUPERIOR",5400,52000,48500,5400,52000,48500
12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,4200,40500,38000,4200,40500,38000
12,1,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST ST",4250,41000,38500,4300,41000,38500
12,1,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 N",4150,40000,37500,4150,40000,37500
12,1,ORA,25.89,"HUNTINGTON BEACH, GOLDENWEST ST",4050,39000,36500,4050,39000,36500
12,1,ORA,29.89,"SUNSET BEACH, WARNER AVENUE",4900,47000,43800,4850,46500,43800
12,1,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4400,48500,45500,4400,49000,45500
12,1,ORA,33.719,LOS ANGELES/ORANGE COUNTY LINE,3950,44500,41000,0,0,0
