District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
12,1 ,ORA,R0.129,"DANA POINT, JCT. RTE. 5",,,,3800,40500,37500
12,1 ,ORA,R0.78,"DANA POINT, DOHENY PARK ROAD",3800,40500,37500,4000,43000,39500
12,1 ,ORA,1.15,"DOHENY BEACH, DEL OBISPO STREET/ DANA POINT DRIVE",4000,43000,39500,2350,32000,29500
12,1 ,ORA,4.32,"DANA POINT, CROWN VALLEY PARKWAY",2350,32000,29500,2900,39000,36500
12,1 ,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",2900,39000,36500,2900,39000,36500
12,1 ,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",2900,39000,36500,3650,43500,40500
12,1 ,ORA,9.6,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3650,43500,40500,2850,33500,31500
12,1 ,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",2850,33500,31500,3050,37000,34000
12,1 ,ORA,16.248,JCT. RTE. 73 NORTH,3100,37000,34000,3100,37000,34000
12,1 ,ORA,17.43,"NEWPORT BEACH, JAMBOREE ROAD",3050,37000,34000,3800,46500,42500
12,1 ,ORA,R18.073,"NEWPORT BEACH, BAYSIDE DRIVE",3800,46500,42500,4700,57000,52500
12,1 ,ORA,R18.446,"NEWPORT BEACH, DOVER DRIVE",4700,57000,52500,4250,52000,47500
12,1 ,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",4250,52000,47500,4550,44000,41500
12,1 ,ORA,20.37,"NEWPORT BEACH, BALBOA BOULEVARD/SUPERIOR AVENUE",4550,44000,41500,3700,35500,33500
12,1 ,ORA,21.549,SANTA ANA RIVER BRIDGE,3700,35500,33500,4450,43000,40500
12,1 ,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST STREET",4450,43000,40500,4100,39500,37000
12,1 ,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",4100,39500,37000,4250,41000,38500
12,1 ,ORA,25.89,"HUNTINGTON BEACH, GOLDENWEST STREET",4250,41000,38500,4150,40000,37500
12,1 ,ORA,29.89,"SUNSET BEACH, WARNER AVENUE",4150,40000,37500,4450,43000,40500
12,1 ,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4500,43500,41000,3950,44500,41500
12,1 ,ORA,33.719,LOS ANGELES/ORANGE COUNTY LINE,4150,45500,41500,0,0,0
7,1 ,LA,0,LOS ANGELES/ORANGE COUNTY LINE,,,,4150,45500,41500
7,1 ,LA,1.86,"LONG BEACH, BELLFLOWER BOULEVARD",3600,39000,36000,2950,31500,29000
7,1 ,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",2950,31500,29000,3850,40500,38000
