District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
1,29 ,LAK,R38.592 ,HIGHLAND SPRINGS RD,1100,12200,11400,1100,12400,11500
4,128 ,SON, 5.74 ,RIVER RD,350,4800,4600,220,3200,2850
4,1 ,MRN, 38.409 ,MARSHALL/PETALUMA RDS,290,2700,2250,180,1700,1400
4,101 ,SON,R41.43 ,SOUTH GEYSERVILLE,1950,26000,25500,1700,22300,21800
2,3 ,TRI, 37.9 ,RUSH CREEK RD,200,1700,1250,160,1350,1100
2,3 ,SIS, 21 ,"ETNA, MAIN ST",190,1650,1350,190,1650,1300
2,36 ,SHA, 8.87 ,PLATINA RD,140,680,650,110,560,570
4,101 ,SON,R40.027 ,INDEPENDENCE LANE INTERCHANGE,2050,26500,26000,1950,26000,25500
1,29 ,LAK,R37.669 ,ARGONAUT RD,1150,13100,12200,1150,12900,12000
4,101 ,SON, 36.274 ,DRY CREEK RD INTERCHANGE,2800,36000,35500,2200,29000,28500
4,101 ,SON,R38.558 ,LYTTON SPRINGS RD,2200,29000,28500,2050,26500,26000
4,101 ,SON, 34.877 ,"HEALDSBURG, WESTSIDE RD INTERCHANGE",2500,32000,31500,2800,36000,35500
1,20 ,LAK, 12.199 ,LUCERNE CUTOFF,840,8800,8000,1200,12700,11500
4,101 ,SON, 34.551 ,SOUTH HEALDSBURG,3650,47500,45500,2500,32000,31500
4,116 ,SON, 21.8 ,GUERNEVILLE RD,1200,13300,12800,950,10600,10300
2,36 ,SHA, 11.928 ,SHASTA/TEHAMA COUNTY LINE,110,560,570,0,0,0
2,36 ,TEH,L0 ,SHASTA/TEHAMA COUNTY LINE,0,0,0,100,720,520
2,299 ,TRI, 63.51 ,LEWISTON RD,490,4300,4050,390,4050,3500
4,116 ,SON, 23.05 ,GRATON/FREI RDS,1250,13700,13300,1600,17800,17200
1,29 ,LAK,R36.289 ,RENFRO DR,860,9600,9000,1150,12800,11900
4,101 ,SON, 33.476 ,GRANT AVE INTERCHANGE,3650,47500,45500,3650,47500,45500
4,116 ,SON,R24.054 ,OCCIDENTAL/MOLINO RDS,2000,22500,21800,1550,17400,16800
2,3 ,SIS, 32.2 ,"FORT JONES, SCOTT RIVER RD",340,3250,2750,500,4800,4450
1,29 ,LAK,R35.32 ,"KELSEYVILLE, BELL HILL RD",990,10800,10000,860,9600,9000
4,128 ,SON, 9.47 ,GEYSERS RD,220,3200,2850,210,3100,2750
4,116 ,SON, 25.69 ,"SEBASTOPOL, COVERT LANE",1800,20200,19500,2000,22400,21700
1,29 ,LAK,R34.747 ,"KELSEYVILLE, LIVE OAK DR",1050,11200,10200,1000,11300,10500
1,29 ,LAK,R34.58 ,"MAIN ST, (TO KELSEYVILLE)",1050,11200,10400,1050,11200,10200
4,116 ,SON, 26.51 ,"SEBASTOPOL, MAIN ST",2050,22700,22000,2250,25000,24300
4,116 ,SON, 26.65 ,BEGIN RIGHT ALIGN,2250,25000,24300,1050,11800,11400
4,116 ,SON,R26.65L,"SEBASTOPOL, ON MAIN ST",1050,18000,17600,1050,12800,12500
4,12 ,SON, 9.23 ,"SEBASTOPOL, JCT. RTE. 116",0,0,0,1850,24800,23500
4,116 ,SON,R26.733R,"SEBASTOPOL, JCT. RTE. 12 E, BODEGA",1150,13000,12600,1150,13900,13600
4,116 ,SON,R26.82L,"SEBASTOPOL, JCT RTE 12, BODEGA AVE",1050,12800,12500,1300,15700,15200
4,116 ,SON,R27.2R,"SEBASTOPOL, PALM AVE",1200,15000,14500,1050,12900,12500
4,116 ,SON,R27.3R,"SEBASTOPOL, PETALUMA AVE",1050,13000,12600,1050,13000,12600
4,116 ,SON, 27.3 ,"SEBASTOPOL, PETALUMA AVE",2000,24700,23900,2000,24700,23900
4,116 ,SON,R27.32L,"SEBASTOPOL, PALM AVE",1100,13500,13100,2000,24700,23900
4,128 ,SON, 11.49 ,ALEXANDER VALLEY RD,210,3100,2750,410,4800,4250
4,12 ,SON, 9.54 ,SEBASTOPOL EAST CITY LIMITS,1800,23800,22600,1800,23800,22600
1,29 ,LAK, 32.35 ,BOTTLE ROCK RD,1050,11000,10200,1050,11100,10300
4,128 ,SON, 11.96 ,PINE FLAT RD,410,4800,4250,370,4300,3850
4,101 ,SON, 29.347 ,WINDSOR RIVER RD INTERCHANGE,4900,65000,62000,3650,47500,45500
4,116 ,SON, 28.56 ,BLOOMFIELD RD,1700,20900,20200,1450,17900,17300
4,1 ,MRN, 28.6 ,"SIR FRANCIS DRAKE BLVD, NORTH",310,3600,3000,610,7100,5900
2,3 ,SIS, 8.8 ,CALLAHAN,50,540,380,150,550,410
4,1 ,MRN, 29.33 ,POINT REYES/PETALUMA RDS,610,7100,5900,230,2700,2250
2,299 ,TRI, 67.425 ,NEW LEWISTON RD,390,4050,3500,570,4650,3800
1,29 ,LAK, 31.05 ,JCT. RTE. 175,930,9500,8900,940,9900,9300
4,101 ,SON, 27.618 ,SHILOH RD,6200,80000,77000,5000,65000,62000
4,1 ,MRN, 26.509 ,"SIR FRANCIS DRAKE BLVD, SOUTH",260,3000,2500,310,3600,3000
1,20 ,LAK, 18.53 ,"LUCERNE, EAST; BELL RAY AVE",930,9800,8900,810,8500,7700
4,116 ,SON, 30.33 ,"CUNNINGHAM, LONE PINE RD",1350,16300,15800,1450,17800,17300
4,101 ,SON, 26.326 ,AIRPORT BLVD INTERCHANGE,6600,86000,82000,6200,80000,77000
