District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
12,1 ,ORA,R0.129 ,"DANA POINT, JCT. RTE. 5",0,0,0,3750,40000,37000
12,1 ,ORA,R0.78 ,"DANA POINT, DOHENY PARK ROAD",3750,40000,37000,3950,42500,39000
12,1 ,ORA, 8.43 ,"LAGUNA BEACH, MOUNTAIN ROAD",2850,38500,36000,2850,38500,36000
12,1 ,ORA, 9.418 ,"LAGUNA BEACH, JCT. RTE. 133 NORTH",2850,38500,36000,3600,43000,40000
12,1 ,ORA, 9.6 ,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3600,43000,40000,2800,33000,31000
12,1 ,ORA, 11.5 ,"LAGUNA BEACH, NORTH CITY LIMITS",2800,33000,31000,3000,36500,33500
12,1 ,ORA,R18.073 ,"NEWPORT BEACH, BAYSIDE DRIVE",3650,45000,41000,4550,56000,51000
12,1 ,ORA,R18.446 ,"NEWPORT BEACH, DOVER DRIVE",4550,56000,51000,4100,50000,46000
12,1 ,ORA, 19.797 ,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",4100,50000,46000,4400,42500,40000
12,1 ,ORA, 20.37 ,"NEWPORT BEACH, BALBOA BOULEVARD/SUPERIOR AVENUE",4400,42500,40000,3550,34000,32000
12,1 ,ORA, 21.549 ,SANTA ANA RIVER BRIDGE,3550,34000,32000,4300,41500,39000
12,1 ,ORA, 22.09 ,"HUNTINGTON BEACH, BROOKHURST STREET",4300,41500,39000,3900,37500,35000
12,1 ,ORA, 23.739 ,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",3900,37500,35000,4100,39500,37000
12,1 ,ORA, 25.89 ,"HUNTINGTON BEACH, GOLDENWEST STREET",4100,39500,37000,4000,38500,36000
12,1 ,ORA, 29.89 ,"SUNSET BEACH, WARNER AVENUE",4000,38500,36000,4300,41500,39000
12,1 ,ORA, 32.721 ,"SEAL BEACH, SEAL BEACH BOULVARD",4300,41500,39000,3950,43500,39500
12,1 ,ORA, 33.719 ,LOS ANGELES/ORANGE COUNTY LINE,3950,43500,39500,0,0,0
7,1 ,LA, 0 ,LOS ANGELES/ORANGE COUNTY LINE,0,0,0,3950,43500,39500
7,1 ,LA, 1.86 ,"LONG BEACH, BELLFLOWER BOULEVARD",3450,37000,34500,2800,30000,28000
7,1 ,LA, 1.973 ,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",2800,30000,28000,3700,39000,36000
7,1 ,LA, 2.751 ,"LONG BEACH, ANAHEIM STREET",3700,39000,36000,2900,30500,28000
7,1 ,LA, 3.557R,"LONG BEACH, LAKEWOOD BOULEVARD",3600,41000,38000,3800,42500,40000
7,1 ,LA, 5.011 ,"LONG BEACH, CHERRY AVENUE",3900,44500,41500,4050,46500,43500
7,1 ,LA, 6.26 ,"LONG BEACH, LONG BEACH BOULEVARD",3400,39500,37000,3500,40500,38000
7,1 ,LA, 7.288 ,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",4600,49500,42000,4950,54000,45500
7,1 ,LA, 8.266 ,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",3250,35500,30000,2750,30000,25500
7,1 ,LA, 9.253 ,"LOS ANGELES, ALAMEDA STREET",2750,30000,25500,3150,35000,29500
7,1 ,LA, 10.532 ,"LOS ANGELES, AVALON BOULEVARD",3000,34000,28500,3900,44000,37500
7,1 ,LA, 11.61 ,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",3700,42500,36500,4450,58000,57000
7,1 ,LA, 12.171 ,"LOS ANGELES, VERMONT AVENUE",4450,58000,57000,4150,53000,52000
7,1 ,LA, 12.523 ,"LOS ANGELES, NORMANDIE AVENUE",4150,53000,52000,4200,53000,52000
7,1 ,LA, 13.1 ,"LOS ANGELES, JCT. RTE. 213, WESTERN AVENUE",3900,48000,47000,4700,57000,56000
7,1 ,LA, 14.634 ,"TORRANCE, CRENSHAW BOULEVARD",4850,58000,57000,4100,47000,46000
7,1 ,LA, 16.005 ,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",3500,41500,40500,3900,47000,44500
7,1 ,LA, 18.09 ,"TORRANCE, PALOS VERDES BOULEVARD",2750,33500,32000,2200,28000,26500
7,1 ,LA, 19.524 ,"REDONDO BEACH, TORRANCE BOULEVARD",3000,37500,36000,3250,41500,39500
7,1 ,LA, 21.181 ,"HERMOSA BEACH, AVIATION BOULEVARD",4950,63000,60000,5000,61000,55000
7,1 ,LA, 21.341 ,"HERMOSA BEACH, PIER AVENUE/14TH STREET",5000,61000,55000,4500,55000,49500
7,1 ,LA, 21.919 ,"MANHATTAN BEACH, ARTESIA BOULEVARD",4350,53000,47500,4550,56000,50000
7,1 ,LA, 22.9 ,"MANHATTAN BEACH, MANHATTAN BEACH BOULEVARD",5100,62000,55000,5100,61000,55000
7,1 ,LA, 23.924 ,"EL SEGUNDO, ROSECRANS AVENUE",5700,67000,60000,5700,67000,60000
7,1 ,LA, 24.911 ,"EL SEGUNDO, EL SEGUNDO BOULEVARD",5100,66000,62000,4900,62000,59000
7,1 ,LA, 25.924 ,"LOS ANGELES, JCT. RTE. 105, GLENN ANDERSON FREEWAY",5700,72000,68000,10200,127000,120000
7,1 ,LA, 26.904 ,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, CENTURY BOULEVARD",10200,127000,120000,6700,83000,78000
7,1 ,LA, 27.363 ,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, VIA LINCOLN BOULEVARD",6700,83000,78000,3200,34500,33500
7,1 ,LA, 29.084 ,"LOS ANGELES, MANCHESTER AVENUE",3550,38000,36500,4700,49500,48000
7,1 ,LA, 30.163 ,"LOS ANGELES, JEFFERSON BOULEVARD",4700,49500,48000,4950,54000,52000
7,1 ,LA, 30.474 ,"LOS ANGELES, CULVER BOULEVARD",4950,54000,52000,5500,60000,58000
7,1 ,LA, 31.29 ,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",4250,48000,46500,5900,68000,66000
7,1 ,LA, 31.78 ,"LOS ANGELES, WASHINGTON BLVD",4950,58000,57000,4500,57000,52000
7,1 ,LA, 32.166 ,"LOS ANGELES, JCT. RTE. 187, VENICE BOULEVARD",4500,57000,52000,4400,57000,52000
7,1 ,LA, 34.33 ,"SANTA MONICA, PICO BOULEVARD",4000,53000,49000,4000,55000,51000
7,1 ,LA,R34.576 ,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",4000,55000,51000,0,0,0
7,1 ,LA, 0 ,BREAK IN ROUTE,0,0,0,0,0,0
7,1 ,LA,R34.576 ,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",0,0,0,5400,63000,59000
7,1 ,LA, 35.184 ,"SANTA MONICA, OCEAN AVENUE",5400,63000,59000,6500,76000,72000
7,1 ,LA, 36.11 ,"SANTA MONICA, CALIFORNIA AVENUE INCLINE",6500,76000,72000,7200,83000,77000
7,1 ,LA, 37.045 ,"LOS ANGELES, CHAUTAUQUA BOULEVARD",7200,83000,77000,6600,77000,71000
